@relation tweet

@attribute 1st_person numeric
@attribute 2nd_person numeric
@attribute 3rd_person numeric
@attribute coord_conjunction numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute modern_slang numeric
@attribute upper_case_words numeric
@attribute avg_length_sentences numeric
@attribute avg_length_token numeric
@attribute num_sentences numeric
@attribute class {0,4}

@data
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3.0, 5.0, 1, 0
3, 0, 0, 1, 1, 0, 1, 0, 0, 4, 0, 6, 0, 2, 0, 0, 0, 32.0, 3.42857142857, 1, 0
0, 2, 0, 1, 0, 1, 0, 0, 1, 1, 0, 5, 0, 0, 0, 0, 0, 14.0, 3.1, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5.0, 3.0, 1, 0
0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 16.0, 4.0, 1, 0
4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 17.0, 3.75, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 8.0, 3.125, 1, 0
1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 4, 1, 0, 2, 18.0, 3.625, 1, 0
1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 4.33333333333, 4.09090909091, 3, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4.0, 5.25, 1, 0
1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 18.0, 5.23529411765, 1, 0
0, 4, 2, 1, 2, 0, 2, 0, 0, 0, 0, 11, 0, 1, 0, 5, 0, 29.0, 3.12, 1, 0
0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 1, 0, 2, 0, 7.75, 3.84615384615, 4, 0
1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 12.0, 3.27272727273, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 12.0, 4.7, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 0, 0, 0, 16.0, 4.0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3.0, 6.66666666667, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 1, 0, 1, 0, 4.5, 3.71428571429, 2, 0
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 8.0, 5.0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 8.0, 4.85714285714, 1, 0
0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 1, 20.0, 4.17647058824, 1, 0
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 10.0, 4.125, 1, 0
2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 3, 0, 1, 0, 1, 0, 10.0, 3.875, 1, 0
1, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 5, 0, 2, 1, 0, 2, 7.33333333333, 3.94736842105, 3, 0
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 5.66666666667, 5.14285714286, 3, 0
2, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 15.0, 3.5, 1, 0
1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 11.0, 5.11111111111, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 5.0, 5.0, 1, 0
0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 1, 0, 20.0, 4.35, 1, 0
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 1, 0, 1, 7.5, 3.15384615385, 2, 0
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3, 0, 0, 0, 12.0, 3.54545454545, 1, 0
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 17.0, 4.73333333333, 1, 0
1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 8, 1, 2, 0, 0, 2, 8.33333333333, 3.85714285714, 3, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 12.0, 8.45454545455, 1, 0
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 8.5, 3.73333333333, 2, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 5.0, 2.5, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 3.0, 7.5, 1, 0
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 10.0, 4.9, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2.0, 6.0, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0, 3.2, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 0, 1, 0, 1, 0, 5.5, 3.33333333333, 2, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3.5, 5.8, 2, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 4.0, 8.66666666667, 1, 0
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 5.0, 3.75, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 11.0, 4.0, 1, 0
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 4.5, 4.57142857143, 2, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 9.0, 4.375, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6.0, 5.0, 1, 0
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 0, 0, 6.25, 3.35, 4, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0, 6.5, 1, 0
1, 0, 1, 1, 2, 1, 4, 0, 0, 0, 0, 4, 1, 5, 1, 1, 0, 9.25, 3.31034482759, 4, 0
2, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 6, 0, 1, 1, 0, 0, 9.0, 3.95833333333, 3, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 7.0, 4.2, 1, 0
4, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 19.0, 3.16666666667, 1, 0
0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 1, 0, 4.66666666667, 3.1, 3, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 6.0, 6.4, 1, 0
1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 11.0, 4.44444444444, 1, 0
3, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 5, 0, 1, 0, 0, 0, 11.5, 4.33333333333, 2, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 7.0, 4.57142857143, 1, 0
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 13.0, 3.46153846154, 1, 0
0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 11.0, 4.375, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 14.0, 3.92307692308, 1, 0
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 11.0, 4.18181818182, 1, 0
1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 2, 0, 7.5, 3.14285714286, 2, 0
2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 14.0, 3.83333333333, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 1, 0, 5.0, 2.91666666667, 3, 0
0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 13.0, 4.33333333333, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5.0, 3.6, 1, 0
0, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 14.0, 4.38461538462, 1, 0
1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 6.0, 5.4, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 5.5, 4.22222222222, 2, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 6.0, 5.5, 1, 0
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 13.0, 4.72727272727, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 8.0, 4.28571428571, 1, 0
0, 0, 1, 2, 1, 0, 2, 0, 0, 0, 1, 9, 0, 2, 0, 0, 7, 5.2, 3.27777777778, 5, 0
3, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 7, 0, 2, 1, 0, 0, 9.0, 4.04545454545, 3, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 6.0, 6.0, 1, 0
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6.0, 6.4, 1, 0
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16.0, 4.42857142857, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4.0, 4.33333333333, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 6.0, 2.0, 1, 0
2, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 10, 0, 2, 0, 1, 2, 30.0, 3.48275862069, 1, 0
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 11.0, 2.8, 1, 0
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 9.0, 4.0, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 10.0, 3.66666666667, 1, 0
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 5, 0, 0, 0, 0, 11.0, 4.11764705882, 2, 0
2, 1, 2, 1, 1, 0, 2, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 10.0, 2.70588235294, 2, 0
1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 17.0, 3.53333333333, 1, 0
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 6, 2, 0, 0, 0, 0, 7.25, 3.96153846154, 4, 0
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 11.0, 3.63636363636, 1, 0
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9, 0, 0, 0, 0, 0, 9.0, 4.38461538462, 2, 0
0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 1, 9.0, 4.75, 1, 0
4, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 6, 0, 3, 0, 0, 0, 28.0, 3.14814814815, 1, 0
2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 21.0, 4.2, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 10.0, 4.0, 1, 0
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 18.0, 3.375, 1, 0
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0, 3.5, 1, 0
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 1, 0, 0, 0, 12.0, 3.5, 1, 0
