@relation tweet

@attribute 1st_person numeric
@attribute 2nd_person numeric
@attribute 3rd_person numeric
@attribute coord_conjunction numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute modern_slang numeric
@attribute upper_case_words numeric
@attribute avg_length_sentences numeric
@attribute avg_length_token numeric
@attribute num_sentences numeric
@attribute class {0,4}

@data
2, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 5, 1, 1, 0, 0, 1, 23.0, 4.44444444444, 1, 4
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 6.5, 3.77777777778, 2, 4
0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 12.0, 4.375, 1, 4
2, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 10.6666666667, 3.62962962963, 3, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 4.0, 6.0, 1, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 4.0, 4.16666666667, 2, 4
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7.0, 4.0, 2, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 7.0, 3.83333333333, 1, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0, 6.0, 1, 4
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 0, 0, 6.5, 4.09090909091, 2, 4
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 1, 13.0, 4.46153846154, 1, 0
0, 0, 0, 1, 3, 0, 4, 0, 0, 0, 0, 6, 2, 0, 0, 0, 0, 18.0, 5.6, 1, 4
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 5, 1, 0, 0, 0, 0, 5.33333333333, 4.5, 3, 4
0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 6.33333333333, 3.86666666667, 3, 0
2, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0, 8, 0, 2, 0, 0, 0, 24.0, 4.19047619048, 1, 4
2, 0, 3, 1, 3, 0, 0, 0, 0, 0, 0, 6, 1, 1, 0, 0, 0, 16.0, 3.46666666667, 2, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4.0, 3.66666666667, 1, 4
1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 5, 1, 1, 0, 0, 0, 9.0, 3.85714285714, 2, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 5.0, 4.4, 1, 4
2, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 21.0, 3.52631578947, 1, 4
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 8.0, 4.5, 1, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 1, 1, 0, 0, 1, 7.0, 4.41666666667, 2, 4
1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 5, 0, 3, 0, 0, 0, 10.0, 4.47058823529, 2, 4
0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 1, 6, 1, 1, 0, 0, 0, 7.5, 4.16666666667, 4, 4
0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3, 0, 1, 0, 0, 0, 10.0, 4.125, 1, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 12.0, 3.8, 1, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 0, 7.5, 5.38461538462, 2, 4
0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 5, 0, 0, 0, 0, 9.0, 6.66666666667, 1, 4
2, 0, 1, 2, 1, 0, 2, 0, 0, 0, 0, 9, 2, 1, 0, 0, 0, 16.0, 3.38461538462, 2, 4
2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 5, 2, 1, 0, 0, 0, 12.0, 3.95, 2, 4
3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 0, 1, 0, 8.66666666667, 4.39130434783, 3, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 11.0, 5.3, 1, 0
